merchant,category,job,age,state,city,amount
Kuvalis Lt,gas_transport,Electronics engineer,34,MO,Centerview,22.65
Fisher-Schowalte,shopping_net,Contractor,42,AZ,Phoenix,76.92
Larson-Moen,entertainment,"Geologist, engineering",66,AZ,Parks,30.12
Rau-Robel,kids_pets,Counselling psychologist,23,AZ,Phoenix,16.93
Simonis-Prohask,misc_pos,Research scientist (physical sciences),42,WY,Lonetree,35.16
Dietrich-Fadel,health_fitness,Clothing/textile technologist,24,WA,Tekoa,26.03
Kulas Group,health_fitness,Freight forwarder,47,WY,Fort Washakie,78.55
Padberg-Saue,home,Network engineer,67,CO,Kirk,91.74
"Nitzsche, Kessler and Wol",shopping_pos,"Designer, exhibition/display",51,CA,Sun City,25.12
Koss and Sons,gas_transport,Materials engineer,81,WY,Yellowstone National Park,48.5
Leffler-Goldne,personal_care,Podiatrist,51,CA,Lakeport,173.06
Bahringer-Streich,food_dining,"Engineer, production",30,MO,Independence,49.18
Gleason and Sons,kids_pets,"Radiographer, diagnostic",61,MO,Syracuse,187.67
Swift PLC,kids_pets,Occupational psychologist,69,CA,Tomales,10.54
Bartoletti-Wunsch,gas_transport,"Therapist, art",35,NM,Moriarty,53.24
"Daugherty, Pouros and Beahan",shopping_pos,Web designer,40,CA,Smith River,2.37
Jast-McDermott,shopping_pos,Health physicist,52,CA,Newhall,101.68
Barrows PLC,shopping_pos,"Geologist, engineering",66,AZ,Parks,402.34
Erdman-Durgan,health_fitness,"Administrator, local government",50,WY,Alva,75.86
"Lubowitz, Terry and Stracke",personal_care,Airline pilot,38,CA,Napa,58.27
Kuhn LLC,shopping_pos,Museum/gallery exhibitions officer,31,CO,Colorado Springs,3.83
"Turcotte, McKenzie and Koss",entertainment,Educational psychologist,42,WY,Manville,354.02
Stark-Koss,home,"Engineer, production",30,MO,Independence,117.98
Crooks and Sons,personal_care,Exercise physiologist,94,MO,Clarksville,49.49
"Nitzsche, Kessler and Wol",shopping_pos,Cartographer,57,ID,Mesa,9.25
"Bernhard, Grant and Langworth",shopping_pos,"Engineer, building services",60,OR,Portland,9.7
Vandervort-Funk,grocery_pos,Osteopath,39,WA,Issaquah,228.72
Barrows PLC,shopping_pos,"Therapist, art",35,NM,Moriarty,2.3
Adams-Barrows,health_fitness,Firefighter,50,CA,Norwalk,32.8
Pagac LLC,shopping_pos,"Surveyor, minerals",36,UT,Thompson,93.61
Johns-Hoege,entertainment,Dealer,47,OR,Athena,82.49
Reichel LLC,personal_care,Chief Marketing Officer,80,WA,Colton,39.59
Gerhold LLC,home,Occupational psychologist,69,CA,Tomales,31.06
"Bahringer, Osinski and Block",food_dining,Educational psychologist,42,WY,Manville,32.45
"Kovacek, Dibbert and Ondrick",grocery_pos,"Therapist, occupational",72,CA,Carlotta,201.03
"Hyatt, Russel and Gleichne",health_fitness,"Therapist, art",35,NM,Moriarty,98.15
Terry-Huel,shopping_net,"Surveyor, land/geomatics",35,NM,Red River,1.86
Corwin-Collins,gas_transport,Product/process development scientist,50,WY,Lagrange,42.82
"Brown, Homenick and Lesch",health_fitness,"Scientist, research (maths)",32,HI,Paauilo,39.24
Medhurst PLC,shopping_net,Network engineer,78,NE,Valentine,1.1
"Bahringer, Osinski and Block",food_dining,Land/geomatics surveyor,38,MO,Arnold,21.3
Little Lt,kids_pets,"Pilot, airline",35,WY,Laramie,118.65
"Romaguera, Cruickshank and Greenholt",shopping_net,Public librarian,49,WY,Jelm,25.24
Parisian and Sons,gas_transport,Investment analyst,49,MO,Redford,46.06
"Mosciski, Gislason and Mertz",grocery_pos,Podiatrist,51,CA,Lakeport,255.02
Koepp-Parke,grocery_pos,Public librarian,49,WY,Jelm,77.0
"Romaguera, Wehner and Tromp",kids_pets,"Engineer, production",30,MO,Independence,75.67
Morissette PLC,shopping_pos,Musician,41,WA,Burbank,179.12
Schulist Lt,food_dining,"Solicitor, Scotland",49,NE,Ravenna,64.22
Ledner-Pfannerstill,gas_transport,"Engineer, automotive",49,NE,Hooper,64.32
Pacocha-Weissnat,kids_pets,Retail merchandiser,95,OR,Sixes,86.47
Kihn-Schuste,food_dining,Advertising account planner,41,CA,Glendale,6.18
"Nienow, Ankunding and Collie",misc_pos,Early years teacher,50,CA,Helm,35.81
"Nienow, Ankunding and Collie",misc_pos,Advertising account planner,41,CA,Glendale,5.27
Jakubowski Inc,home,Systems analyst,77,CA,Grenada,7.08
"Nitzsche, Kessler and Wol",shopping_pos,Location manager,33,UT,Moab,3.65
Mante Group,misc_net,Research scientist (maths),95,NE,Howells,4.25
Gutmann-Upton,misc_pos,Production manager,66,ID,Spirit Lake,6.19
Brown-Greenholt,entertainment,Tourist information centre manager,48,MO,Meadville,75.51
"Prosacco, Kreiger and Kovacek",home,Podiatrist,51,CA,Lakeport,10.73
Bode-Rempel,kids_pets,Tax inspector,35,MO,Rocky Mount,1.31
Ernser-Feest,home,Osteopath,39,WA,Issaquah,16.43
Champlin-Caspe,home,"Surveyor, minerals",83,NE,Campbell,12.34
Weber and Sons,food_dining,"Pharmacist, hospital",63,CA,San Diego,8.56
Crona and Sons,kids_pets,"Pilot, airline",35,WY,Laramie,91.17
Brown Inc,kids_pets,Mental health nurse,45,CO,Dumont,51.0
Dare-Marvin,entertainment,Immigration officer,36,CA,Fiddletown,71.08
Jakubowski Inc,home,"Engineer, agricultural",43,MO,Kissee Mills,75.06
Daugherty-Thompson,food_dining,Magazine features editor,44,CA,Sacramento,22.13
"Lockman, West and Runte",grocery_pos,"Engineer, production",30,MO,Independence,227.5
"Becker, Harris and Harvey",personal_care,Associate Professor,56,NE,Brainard,105.16
"Ruecker, Beer and Collie",shopping_net,Osteopath,39,WA,Issaquah,3.15
"Hermiston, Pacocha and Smith",health_fitness,Musician,41,WA,Burbank,58.46
Volkman-Predovic,shopping_net,Educational psychologist,42,WY,Manville,3.04
Breitenberg-Hermiston,kids_pets,Cytogeneticist,69,MO,Browning,4.66
Kiehn-Emmerich,grocery_pos,Musician,41,WA,Burbank,217.55
"Heathcote, Yost and Kertzmann",shopping_net,Clothing/textile technologist,24,WA,Tekoa,62.76
Rau and Sons,grocery_pos,Futures trader,30,UT,American Fork,221.66
"Lakin, Ferry and Beatty",food_dining,Freight forwarder,47,WY,Fort Washakie,66.43
"Medhurst, Cartwright and Ebert",personal_care,Insurance broker,41,NE,Sutherland,8.23
Deckow-Dare,food_dining,Product designer,88,NE,Westerville,22.99
Paucek-Wiz,grocery_net,"Nurse, children's",43,NE,North Loup,82.11
Goyette Inc,shopping_net,Educational psychologist,42,WY,Manville,2.14
"Schneider, Hayes and Nikolaus",food_dining,"Therapist, art",35,NM,Moriarty,59.77
Miller-Hauck,grocery_pos,"Nurse, mental health",75,NE,Roseland,108.71
Reilly LLC,home,Geoscientist,26,CA,San Jose,33.64
"Robel, Cummerata and Prosacco",gas_transport,Educational psychologist,42,WY,Manville,76.15
Doyle Lt,grocery_pos,Tourist information centre manager,48,MO,Meadville,99.35
Ankunding LLC,shopping_net,Osteopath,39,WA,Issaquah,2.56
Brown-Greenholt,entertainment,Health physicist,52,CA,Newhall,96.94
Nolan-Williamson,kids_pets,Web designer,40,CA,Smith River,42.41
Deckow-O'Conne,grocery_pos,"Therapist, occupational",72,CA,Carlotta,127.94
Kuvalis Lt,gas_transport,Building surveyor,88,AZ,Paradise Valley,73.72
Leannon-Nikolaus,travel,Educational psychologist,42,WY,Manville,2.68
Vandervort-Funk,grocery_pos,Aeronautical engineer,44,MO,Matthews,120.62
Champlin-Caspe,home,Information systems manager,37,WY,Fort Washakie,72.5
McGlynn-Jaskolski,misc_pos,"Designer, exhibition/display",51,CA,Sun City,27.22
Deckow-O'Conne,grocery_pos,Water engineer,48,CO,Littleton,203.59
White and Sons,home,Historic buildings inspector/conservation officer,51,NM,Espanola,94.68
Herzog Lt,misc_pos,Water engineer,48,CO,Littleton,70.62
Barton LLC,kids_pets,Television/film/video producer,66,NE,Nelson,47.97
Jerde-Hermann,travel,Agricultural consultant,73,MO,Blairstown,6.99
Jaskolski-Vandervort,misc_net,Chartered public finance accountant,64,CA,San Diego,65.59
Gaylord-Powlowski,home,Location manager,33,UT,Moab,46.24
"Zemlak, Tillman and Cremin",personal_care,"Investment banker, corporate",73,MO,Unionville,68.84
Zemlak Group,misc_net,Architect,70,MO,Mound City,5.46
Heller-Langosh,gas_transport,Human resources officer,56,NE,Manley,72.3
"Crist, Jakubowski and Littel",home,Investment analyst,49,MO,Redford,8.43
"Nienow, Barrows and Romague",personal_care,Petroleum engineer,36,AZ,Superior,88.09
Abbott-Rogahn,entertainment,Production manager,38,MO,Wheaton,286.68
Jewess LLC,shopping_pos,Dealer,47,OR,Athena,141.82
Sporer Inc,gas_transport,"Geologist, engineering",66,AZ,Parks,94.92
"Langworth, Boehm and Gulgowski",shopping_net,Colour technologist,36,OR,Bay City,3.3
Kling Inc,gas_transport,Geoscientist,26,CA,San Jose,122.34
"Weber, Thiel and Hammes",kids_pets,Immigration officer,36,CA,Fiddletown,50.03
Kutch-Wilderman,home,Special educational needs teacher,45,WA,Orient,85.39
"Streich, Hansen and Veum",gas_transport,"Sales professional, IT",33,UT,Altonah,76.71
Hamill-Daugherty,misc_net,Advertising account planner,41,CA,Glendale,7.65
"Kilback, Nitzsche and Leffle",travel,Geoscientist,26,CA,San Jose,8.25
Botsford PLC,home,Science writer,68,CA,San Jose,19.85
Ernser-Feest,home,Educational psychologist,42,WY,Manville,33.11
Kuhn Group,food_dining,Early years teacher,50,CA,Helm,47.64
Effertz LLC,entertainment,Chiropodist,56,NE,Sprague,9.94
Berge-Ullrich,home,Armed forces training and education officer,64,CA,Port Costa,8.27
Bernier and Sons,kids_pets,Barrister,87,OR,Cascade Locks,42.44
Towne LLC,misc_pos,Counselling psychologist,23,AZ,Phoenix,2.33
Bogisich-Weimann,kids_pets,Television/film/video producer,66,NE,Nelson,70.29
Kuhic LLC,shopping_net,Community arts worker,54,CO,Iliff,6.42
Volkman PLC,food_dining,Production manager,38,MO,Wheaton,292.15
Bartoletti-Wunsch,gas_transport,"Surveyor, land/geomatics",28,NE,Omaha,53.95
"Streich, Dietrich and Barton",shopping_net,Private music teacher,53,MO,Brashear,1.27
"Heller, Gutmann and Zieme",grocery_pos,"Administrator, local government",50,WY,Alva,104.23
Schroeder Group,health_fitness,Futures trader,30,UT,American Fork,19.84
Jaskolski-Vandervort,misc_net,Barrister,87,OR,Cascade Locks,5.54
"Konopelski, Schneider and Hartmann",food_dining,Water engineer,48,CO,Littleton,30.56
Thiel Lt,travel,Barista,49,CA,Oakland,165.38
Kunze Inc,grocery_pos,Tourist information centre manager,48,MO,Meadville,103.4
Kunde-Sanfo,misc_net,"Surveyor, minerals",83,NE,Campbell,1154.05
"Hagenes, Kohler and Hoppe",food_dining,Contractor,42,AZ,Phoenix,156.28
"Yost, Schamberger and Windle",kids_pets,Human resources officer,56,NE,Manley,16.26
VonRueden Group,grocery_net,Health physicist,52,CA,Newhall,78.48
"Quitzon, Green and Bashirian",shopping_pos,"Engineer, agricultural",43,MO,Kissee Mills,118.68
"Hoppe, Harris and Bedn",entertainment,Public house manager,49,WA,Burlington,37.25
"Romaguera, Wehner and Tromp",kids_pets,Historic buildings inspector/conservation officer,51,NM,Espanola,35.32
Kuhic LLC,shopping_net,Telecommunications researcher,73,NE,Holstein,4.81
Spencer PLC,entertainment,Water engineer,48,CO,Littleton,315.91
Wilkinson Lt,entertainment,Telecommunications researcher,73,NE,Holstein,75.91
Fisher-Schowalte,shopping_net,"Engineer, automotive",49,NE,Hooper,6.16
"Windler, Goodwin and Kovacek",home,"Engineer, automotive",49,NE,Hooper,30.3
Rutherford-Mertz,grocery_pos,"Engineer, communications",22,MO,Ballwin,49.58
"Moen, Reinger and Murphy",grocery_pos,"Surveyor, minerals",83,NE,Campbell,119.13
Collier Inc,grocery_net,Counselling psychologist,23,AZ,Phoenix,38.88
Streich Lt,home,Research scientist (physical sciences),42,WY,Lonetree,86.89
"Reilly, Heaney and Cole",gas_transport,Production manager,38,MO,Wheaton,57.78
Howe PLC,entertainment,Magazine features editor,44,CA,Sacramento,7.02
Kutch Group,grocery_net,Tourist information centre manager,48,MO,Meadville,50.35
"Schroeder, Wolff and Hermiston",travel,Chief Marketing Officer,80,WA,Colton,1.71
Bartoletti and Sons,personal_care,"Administrator, education",84,AK,Wales,2.85
Bode-Schuste,kids_pets,Airline pilot,38,CA,Napa,22.89
Bins-Tillman,entertainment,Osteopath,39,WA,Issaquah,41.86
Zboncak Lt,food_dining,Contractor,42,AZ,Phoenix,102.25
Rolfson-Kunde,personal_care,Airline pilot,38,CA,Napa,353.39
Altenwerth-Kilback,home,Special educational needs teacher,45,WA,Orient,31.89
"Lubowitz, Terry and Stracke",personal_care,Intelligence analyst,52,ID,Meridian,24.69
"McCullough, Hudson and Schuste",food_dining,"Sales professional, IT",33,UT,Altonah,19.2
Stamm-Witting,shopping_net,"Therapist, art",35,NM,Moriarty,9.27
Koss and Sons,gas_transport,Historic buildings inspector/conservation officer,51,NM,Espanola,76.38
Gislason Group,misc_pos,Immigration officer,36,CA,Fiddletown,32.77
Leannon-W,food_dining,Museum/gallery exhibitions officer,31,CO,Colorado Springs,49.77
Ziemann-Waters,health_fitness,"Buyer, industrial",32,CA,Daly City,41.03
Gleason-Macejkovic,shopping_net,Agricultural consultant,73,MO,Blairstown,5.41
"Tillman, Dickinson and Labadie",gas_transport,Land/geomatics surveyor,51,MO,Utica,48.15
"Cormier, Stracke and Thiel",entertainment,"Therapist, art",35,NM,Moriarty,57.3
Spencer PLC,entertainment,Freight forwarder,47,WY,Fort Washakie,67.24
Schmitt Inc,gas_transport,Advertising account planner,41,CA,Glendale,69.17
Conroy-Cruickshank,gas_transport,Architect,70,MO,Mound City,71.44
"Terry, Johns and Bins",misc_pos,Electronics engineer,34,MO,Centerview,1.41
"Yost, Block and Koepp",misc_pos,Location manager,33,UT,Moab,4.66
Hilpert-Conroy,kids_pets,Production manager,38,MO,Wheaton,41.1
Friesen-D'Amore,gas_transport,"Research officer, political party",39,WA,Conway,48.28
"Durgan, Gislason and Spence",home,"Sales professional, IT",33,UT,Altonah,1.01
Kihn-Fritsch,food_dining,"Journalist, newspaper",64,CA,Los Angeles,80.81
Schmitt Inc,gas_transport,Public relations account executive,59,NM,Lamy,68.48
"Wiza, Schaden and Stark",misc_pos,Public house manager,49,WA,Burlington,69.36
Schroeder Group,health_fitness,Special educational needs teacher,45,WA,Orient,266.56
Barton Inc,grocery_pos,Dealer,47,OR,Athena,93.38
Jewess LLC,shopping_pos,Podiatrist,51,CA,Lakeport,7.42
"Hoppe, Harris and Bedn",entertainment,Retail merchandiser,95,OR,Sixes,34.37
Stoltenberg-Beatty,shopping_pos,Special educational needs teacher,45,WA,Orient,3.58
Hammes-Beatty,kids_pets,Magazine features editor,44,CA,Sacramento,11.46
"Nienow, Barrows and Romague",personal_care,Occupational psychologist,69,CA,Tomales,39.41
"Bins, Balistreri and Beatty",shopping_pos,Land/geomatics surveyor,38,MO,Arnold,2.02
Koepp-Witting,grocery_pos,Advertising account planner,41,CA,Glendale,40.23
McGlynn-Jaskolski,misc_pos,Tax inspector,35,MO,Rocky Mount,1.35
Mohr-Baye,shopping_net,Public house manager,49,WA,Burlington,7.85
"Bins, Balistreri and Beatty",shopping_pos,Planning and development surveyor,41,OR,Lake Oswego,1.08
"Witting, Beer and Ernse",home,Product designer,88,NE,Westerville,68.9
Cummings LLC,gas_transport,Barrister,87,OR,Cascade Locks,46.26
"Haley, Batz and Aue",health_fitness,Geoscientist,61,UT,Hatch,4.84
Lynch-Wisozk,home,Barrister,87,OR,Cascade Locks,124.23
"Crist, Jakubowski and Littel",home,Cytogeneticist,69,MO,Browning,9.81
"Pouros, Walker and Spence",kids_pets,Occupational psychologist,69,CA,Tomales,75.62
Abshire PLC,entertainment,Music therapist,39,WY,Rock Springs,39.96
Gislason Group,misc_pos,Immigration officer,36,CA,Fiddletown,31.27
Beer-Jast,kids_pets,Telecommunications researcher,73,NE,Holstein,37.01
"Stokes, Christiansen and Sipes",grocery_net,Historic buildings inspector/conservation officer,51,NM,Espanola,33.77
"Mante, Luettgen and Hackett",health_fitness,Historic buildings inspector/conservation officer,51,NM,Espanola,51.22
Towne LLC,misc_pos,Chemical engineer,60,CA,Palmdale,1.1
"Haley, Jewess and Bechtel",shopping_pos,Wellsite geologist,57,CA,Corona,7.08
"Turcotte, McKenzie and Koss",entertainment,Firefighter,50,CA,Norwalk,182.46
Abbott-Rogahn,entertainment,Insurance broker,41,NE,Sutherland,15.52
Bartoletti and Sons,personal_care,"Research officer, political party",39,WA,Conway,125.82
"Witting, Beer and Ernse",home,Water engineer,48,CO,Littleton,83.67
"Connelly, Reichert and Fritsch",gas_transport,"Sales professional, IT",33,UT,Altonah,68.03
Thompson-Gleason,health_fitness,Human resources officer,56,NE,Manley,201.23
Mraz-Herzog,gas_transport,"Pharmacist, hospital",63,CA,San Diego,48.44
"Gottlieb, Considine and Schultz",shopping_net,Educational psychologist,42,WY,Manville,8.81
Pfeffer and Sons,shopping_pos,Airline pilot,38,CA,Napa,5.76
Heidenreich PLC,grocery_pos,"Sales professional, IT",33,UT,Altonah,126.06
Kulas Group,health_fitness,"Therapist, art",35,NM,Moriarty,10.45
Boyer-Reichert,shopping_net,Intelligence analyst,52,ID,Meridian,27.77
Kiehn-Emmerich,grocery_pos,Water engineer,48,CO,Littleton,177.31
Nader-Helle,misc_net,"Administrator, local government",50,WY,Alva,76.58
Block Group,misc_pos,Public relations account executive,84,CO,Meredith,15.38
Predovic Inc,shopping_net,Geoscientist,26,CA,San Jose,135.58
Schimmel-Olson,kids_pets,Science writer,68,CA,San Jose,93.23
"Yost, Schamberger and Windle",kids_pets,"Surveyor, minerals",36,UT,Thompson,5.88
Harris Group,food_dining,Electronics engineer,34,MO,Centerview,33.8
Kozey-McDermott,travel,"Pharmacist, hospital",63,CA,San Diego,2.05
Kuhic Inc,grocery_pos,Petroleum engineer,36,AZ,Superior,208.81
"Turner, Ziemann and Lehne",food_dining,"Education officer, museum",56,WY,Freedom,72.48
Dooley Inc,shopping_pos,Forensic psychologist,62,OR,Westfir,2.26
Heller-Abshire,grocery_net,Water engineer,48,CO,Littleton,29.76
Koepp-Witting,grocery_pos,Video editor,67,WA,Ashford,100.58
Emmerich-R,personal_care,Video editor,67,WA,Ashford,119.43
Howe Lt,misc_pos,Educational psychologist,42,WY,Manville,8.47
Pfeffer and Sons,shopping_pos,Health physicist,52,CA,Newhall,31.18
Gerlach Inc,shopping_net,Podiatrist,51,CA,Lakeport,305.28
Spencer PLC,entertainment,Museum education officer,81,OR,Kent,24.76
Ruecker-Mayert,kids_pets,Clothing/textile technologist,24,WA,Tekoa,145.6
"Mante, Luettgen and Hackett",health_fitness,Television floor manager,66,MO,Cardwell,19.94
Reilly LLC,home,"Surveyor, land/geomatics",35,NM,Red River,21.39
"Kohler, Lindgren and Koelpin",grocery_net,Museum/gallery exhibitions officer,31,CO,Colorado Springs,45.51
"Runolfsdottir, Mueller and Han",entertainment,Physiotherapist,56,HI,Honokaa,695.35
"Bahringer, Osinski and Block",food_dining,Land/geomatics surveyor,38,MO,Arnold,28.87
Zboncak LLC,food_dining,"Buyer, industrial",32,CA,Daly City,5.12
Bartoletti and Sons,personal_care,Airline pilot,38,CA,Napa,92.44
Morissette PLC,shopping_pos,"Teacher, adult education",34,CA,Wendel,30.04
Luettgen PLC,gas_transport,"Nurse, children's",43,NE,North Loup,74.13
Ratke and Sons,health_fitness,Location manager,33,UT,Moab,38.38
"Windler, Goodwin and Kovacek",home,"Therapist, horticultural",47,CA,Huntington Beach,97.19
Ruecker-Mayert,kids_pets,Land/geomatics surveyor,51,MO,Utica,1.58
Goodwin-Nitzsche,grocery_pos,Music therapist,39,WY,Rock Springs,212.7
VonRueden Group,grocery_net,Planning and development surveyor,41,OR,Lake Oswego,29.4
"Dare, Casper and Bartoletti",kids_pets,Petroleum engineer,36,AZ,Superior,20.1
Kuvalis Lt,gas_transport,"Administrator, education",84,AK,Wales,61.79
Kris-Weimann,misc_net,"Therapist, occupational",72,CA,Carlotta,17.03
"Wiza, Schaden and Stark",misc_pos,Call centre manager,65,CA,Greenview,8.51
"Yost, Block and Koepp",misc_pos,"Pilot, airline",35,WY,Laramie,27.18
"Goldner, Kovacek and Abbott",grocery_pos,Water engineer,48,CO,Littleton,249.17
"Wintheiser, Dietrich and Schimmel",misc_pos,"Education officer, museum",56,WY,Freedom,8.63
"Swift, Bradtke and Marquardt",grocery_net,Intelligence analyst,52,ID,Meridian,34.13
Kilback LLC,food_dining,Chiropodist,56,NE,Sprague,6.17
